Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,5.239740,5.540930,5.239740,5.412680,0.063028,21923
2002-07-02,5.523440,5.537040,5.421420,5.443770,0.063391,61045
2002-07-03,5.505950,5.545790,5.328150,5.466120,0.063651,34161
2002-07-04,5.501090,5.572020,5.417540,5.528300,0.064375,27893
2002-07-05,5.563270,5.656550,5.474860,5.590480,0.065099,58976
2002-07-08,5.501090,5.718730,5.501090,5.625460,0.065506,48910
2002-07-09,5.590480,5.758560,5.568130,5.616710,0.065404,321846
2002-07-10,5.488460,5.488460,5.146470,5.222250,0.060811,138434
2002-07-11,4.978380,5.213500,4.978380,5.186300,0.060392,15027
2002-07-12,5.501090,5.501090,5.244600,5.319410,0.061942,24187
2002-07-15,5.324270,5.479720,5.191160,5.333010,0.062101,50330
2002-07-16,5.199900,5.438910,5.199900,5.315520,0.061897,24928
2002-07-17,4.702450,5.137720,4.618900,5.044450,0.058741,21357
2002-07-18,4.880250,5.146470,4.835560,5.080400,0.059159,27532
2002-07-19,5.026960,5.203790,5.022100,5.151320,0.059985,13380
2002-07-22,5.080400,5.146470,4.968670,4.973520,0.057915,21666
2002-07-23,4.818070,5.084280,4.818070,5.061940,0.058944,40161
2002-07-24,5.058050,5.128980,4.937580,5.061940,0.058944,34480
2002-07-25,5.058050,5.058050,4.791840,4.849160,0.056467,38185
2002-07-26,5.146470,5.146470,4.729660,4.871510,0.056727,51761
2002-07-29,4.223460,4.250670,3.903810,4.250670,0.049497,17188
2002-07-30,4.170030,4.325480,4.036920,4.276900,0.049803,66562
2002-07-31,4.179740,4.303130,4.148650,4.210830,0.049033,5558
2002-08-01,4.250670,4.516880,4.250670,4.458590,0.051918,31135
2002-08-02,4.068010,4.610150,4.068010,4.498420,0.052382,28212
2002-08-05,4.596550,4.791840,4.525630,4.791840,0.055799,18835
2002-08-06,4.627640,4.681080,4.627640,4.649990,0.054147,6690
2002-08-07,4.800580,4.854020,4.658730,4.752000,0.055335,24826
2002-08-08,4.791840,4.791840,4.614040,4.649990,0.054147,16581
2002-08-09,4.658730,4.702450,4.574200,4.702450,0.054758,32421
2002-08-12,4.614040,4.791840,4.614040,4.614040,0.053729,10807
2002-08-13,4.610150,4.702450,4.525630,4.574200,0.053265,11322
2002-08-14,4.569350,4.641240,4.525630,4.538260,0.052846,11908
2002-08-15,null,null,null,null,null,null
2002-08-16,4.614040,4.693710,4.569350,4.645130,0.054091,7987
2002-08-19,4.525630,4.720910,4.516880,4.543110,0.052903,15449
2002-08-20,4.529510,4.529510,4.383770,4.427500,0.051556,17240
2002-08-21,4.525630,4.614040,4.436240,4.441100,0.051715,27327
2002-08-22,4.441100,4.441100,4.347830,4.436240,0.051658,6176
2002-08-23,4.458590,4.480930,4.458590,4.480930,0.052179,20842
2002-08-26,4.436240,4.436240,4.179740,4.436240,0.051658,5043
2002-08-27,4.480930,4.512020,4.436240,4.436240,0.051658,10817
2002-08-28,4.370170,4.560600,4.370170,4.410010,0.051353,3088
2002-08-29,4.401260,4.458590,4.347830,4.347830,0.050629,4889
2002-08-30,4.396410,4.574200,4.392520,4.525630,0.052699,13895
2002-09-02,4.370170,4.370170,4.347830,4.347830,0.050629,6947
2002-09-03,4.392520,4.396410,4.370170,4.370170,0.050889,9263
2002-09-04,4.392520,4.436240,4.383770,4.436240,0.051658,20173
2002-09-05,4.436240,4.472190,4.436240,4.467330,0.052020,1894
2002-09-06,4.347830,4.525630,4.347830,4.436240,0.051658,11836
2002-09-09,4.356570,4.414870,4.352680,4.401260,0.051251,4117
2002-09-10,null,null,null,null,null,null
2002-09-11,4.396410,4.432350,4.347830,4.375030,0.050945,6433
2002-09-12,4.508140,4.508140,4.392520,4.445960,0.051771,3602
2002-09-13,4.436240,4.436240,4.392520,4.436240,0.051658,5867
2002-09-16,4.436240,4.458590,4.392520,4.432350,0.051613,24702
2002-09-17,4.436240,4.458590,4.418750,4.418750,0.051455,24939
2002-09-18,4.436240,4.463440,4.396410,4.410010,0.051353,17713
2002-09-19,4.356570,4.489680,4.356570,4.414870,0.051409,39379
2002-09-20,3.749330,4.436240,3.749330,4.423610,0.051511,14801
2002-09-23,4.498420,4.525630,4.392520,4.512020,0.052541,27080
2002-09-24,4.498420,4.498420,4.418750,4.436240,0.051658,26143
2002-09-25,4.352680,4.436240,4.347830,4.392520,0.051149,14512
2002-09-26,null,null,null,null,null,null
2002-09-27,4.405150,4.410010,4.405150,4.410010,0.051353,3088
2002-09-30,4.418750,4.418750,4.392520,4.392520,0.051149,4117
2002-10-01,4.392520,4.436240,4.392520,4.396410,0.051194,5733
2002-10-02,null,null,null,null,null,null
2002-10-03,4.347830,4.347830,4.347830,4.347830,0.050629,2058
2002-10-04,4.361430,4.378920,4.356570,4.356570,0.050731,6227
2002-10-07,4.401260,4.436240,4.392520,4.392520,0.051149,24136
2002-10-08,4.436240,4.436240,4.347830,4.370170,0.050889,18269
2002-10-09,4.316740,4.370170,4.312850,4.361430,0.050787,6896
