Date,Open,High,Low,Close,Volume
7/1/2002,5.23974,5.54093,5.23974,5.41268,21923
7/2/2002,5.52344,5.53704,5.42142,5.44377,61045
7/3/2002,5.50595,5.54579,5.32815,5.46612,34161
7/4/2002,5.50109,5.57202,5.41754,5.5283,27893
7/5/2002,5.56327,5.65655,5.47486,5.59048,58976
7/8/2002,5.50109,5.71873,5.50109,5.62546,48910
7/9/2002,5.59048,5.75856,5.56813,5.61671,321846
7/10/2002,5.48846,5.48846,5.14647,5.22225,138434
7/11/2002,4.97838,5.2135,4.97838,5.1863,15027
7/12/2002,5.50109,5.50109,5.2446,5.31941,24187
7/15/2002,5.32427,5.47972,5.19116,5.33301,50330
7/16/2002,5.1999,5.43891,5.1999,5.31552,24928
7/17/2002,4.70245,5.13772,4.6189,5.04445,21357
7/18/2002,4.88025,5.14647,4.83556,5.0804,27532
7/19/2002,5.02696,5.20379,5.0221,5.15132,13380
7/22/2002,5.0804,5.14647,4.96867,4.97352,21666
7/23/2002,4.81807,5.08428,4.81807,5.06194,40161
7/24/2002,5.05805,5.12898,4.93758,5.06194,34480
7/25/2002,5.05805,5.05805,4.79184,4.84916,38185
7/26/2002,5.14647,5.14647,4.72966,4.87151,51761
7/29/2002,4.22346,4.25067,3.90381,4.25067,17188
7/30/2002,4.17003,4.32548,4.03692,4.2769,66562
7/31/2002,4.17974,4.30313,4.14865,4.21083,5558
8/1/2002,4.25067,4.51688,4.25067,4.45859,31135
8/2/2002,4.06801,4.61015,4.06801,4.49842,28212
8/5/2002,4.59655,4.79184,4.52563,4.79184,18835
8/6/2002,4.62764,4.68108,4.62764,4.64999,6690
8/7/2002,4.80058,4.85402,4.65873,4.752,24826
8/8/2002,4.79184,4.79184,4.61404,4.64999,16581
8/9/2002,4.65873,4.70245,4.5742,4.70245,32421
8/12/2002,4.61404,4.79184,4.61404,4.61404,10807
8/13/2002,4.61015,4.70245,4.52563,4.5742,11322
8/14/2002,4.56935,4.64124,4.52563,4.53826,11908
8/15/2002,null,null,null,null,null
8/16/2002,4.61404,4.69371,4.56935,4.64513,7987
8/19/2002,4.52563,4.72091,4.51688,4.54311,15449
8/20/2002,4.52951,4.52951,4.38377,4.4275,17240
8/21/2002,4.52563,4.61404,4.43624,4.4411,27327
8/22/2002,4.4411,4.4411,4.34783,4.43624,6176
8/23/2002,4.45859,4.48093,4.45859,4.48093,20842
8/26/2002,4.43624,4.43624,4.17974,4.43624,5043
8/27/2002,4.48093,4.51202,4.43624,4.43624,10817
8/28/2002,4.37017,4.5606,4.37017,4.41001,3088
8/29/2002,4.40126,4.45859,4.34783,4.34783,4889
8/30/2002,4.39641,4.5742,4.39252,4.52563,13895
9/2/2002,4.37017,4.37017,4.34783,4.34783,6947
9/3/2002,4.39252,4.39641,4.37017,4.37017,9263
9/4/2002,4.39252,4.43624,4.38377,4.43624,20173
9/5/2002,4.43624,4.47219,4.43624,4.46733,1894
9/6/2002,4.34783,4.52563,4.34783,4.43624,11836
9/9/2002,4.35657,4.41487,4.35268,4.40126,4117
9/10/2002,null,null,null,null,null
9/11/2002,4.39641,4.43235,4.34783,4.37503,6433
9/12/2002,4.50814,4.50814,4.39252,4.44596,3602
9/13/2002,4.43624,4.43624,4.39252,4.43624,5867
9/16/2002,4.43624,4.45859,4.39252,4.43235,24702
9/17/2002,4.43624,4.45859,4.41875,4.41875,24939
9/18/2002,4.43624,4.46344,4.39641,4.41001,17713
9/19/2002,4.35657,4.48968,4.35657,4.41487,39379
9/20/2002,3.74933,4.43624,3.74933,4.42361,14801
9/23/2002,4.49842,4.52563,4.39252,4.51202,27080
9/24/2002,4.49842,4.49842,4.41875,4.43624,26143
9/25/2002,4.35268,4.43624,4.34783,4.39252,14512
9/26/2002,null,null,null,null,null
9/27/2002,4.40515,4.41001,4.40515,4.41001,3088
9/30/2002,4.41875,4.41875,4.39252,4.39252,4117
10/1/2002,4.39252,4.43624,4.39252,4.39641,5733
10/2/2002,null,null,null,null,null
10/3/2002,4.34783,4.34783,4.34783,4.34783,2058
10/4/2002,4.36143,4.37892,4.35657,4.35657,6227
10/7/2002,4.40126,4.43624,4.39252,4.39252,24136
10/8/2002,4.43624,4.43624,4.34783,4.37017,18269
10/9/2002,4.31674,4.37017,4.31285,4.36143,6896
10/10/2002,4.36143,4.36143,4.34783,4.35268,1297
10/11/2002,4.35657,4.38377,4.34783,4.36531,4488
10/14/2002,4.00194,4.54797,4.00194,4.43624,3355
10/15/2002,null,null,null,null,null
10/16/2002,4.35657,4.43235,4.35657,4.39641,3602
10/17/2002,4.4275,4.43624,4.34783,4.4275,22664
10/18/2002,4.34783,4.43624,4.34783,4.39252,17857
10/21/2002,4.34783,4.44984,4.34783,4.43624,50896
10/22/2002,4.36531,4.43624,4.25941,4.26816,8615
10/23/2002,4.4275,4.4275,4.23707,4.25067,71173
10/24/2002,4.17488,4.25941,4.17003,4.19723,21419
10/25/2002,4.17003,4.25941,3.99709,4.17974,125723
10/28/2002,4.17003,4.25067,4.17003,4.24581,3983
10/29/2002,3.82026,4.17974,3.82026,4.17488,4271
10/30/2002,4.36143,4.36143,4.17488,4.17488,4426
10/31/2002,3.67355,4.25941,3.67355,4.23221,15284
11/1/2002,4.13505,4.25941,4.13505,4.25941,7874
11/4/2002,4.08161,4.08161,4.08161,4.08161,1029
11/5/2002,4.08647,4.25455,4.08647,4.10396,8821
11/6/2002,null,null,null,null,null
11/7/2002,4.17003,4.17003,4.06412,4.06801,9490
11/8/2002,4.04664,4.08647,4.04664,4.08161,7719
11/11/2002,3.95336,4.11756,3.95336,4.11756,13432
11/12/2002,4.02429,4.12631,4.01943,4.0991,41427
11/13/2002,4.01943,4.24581,4.01943,4.20112,13195
11/14/2002,4.22346,4.22346,4.03692,4.19723,9129
11/15/2002,3.9932,4.24192,3.78917,4.06412,11157
11/18/2002,4.17003,4.17003,4.09036,4.09521,2058
11/19/2002,null,null,null,null,null
11/20/2002,4.15254,4.17003,4.15254,4.15254,5404
11/21/2002,4.16614,4.23707,4.16614,4.23707,6330
11/22/2002,4.34783,4.34783,4.1574,4.17003,18012
11/25/2002,4.20598,4.54797,4.17003,4.25941,25731
11/26/2002,4.61404,4.61404,4.20112,4.24581,9263
11/27/2002,4.24192,4.34783,4.24192,4.2769,11116
11/28/2002,4.2633,4.30313,4.20598,4.24192,18228
11/29/2002,4.25941,4.25941,4.17003,4.17003,24187
12/2/2002,4.13019,4.51202,4.13019,4.43624,141512
12/3/2002,4.01069,4.61404,4.01069,4.36143,75691
12/4/2002,4.52563,4.52563,4.26816,4.38766,8358
12/5/2002,4.39252,4.43624,4.34783,4.34783,3129
12/6/2002,4.34783,4.39252,4.2905,4.35268,5352
12/9/2002,4.34394,4.34394,4.23707,4.2633,18526
12/10/2002,4.25941,4.34783,4.25941,4.30799,13638
12/11/2002,4.32159,4.34783,4.2769,4.2769,45884
12/12/2002,4.27204,4.32548,4.25941,4.31285,28335
12/13/2002,4.26816,4.34783,4.26816,4.34394,7205
12/16/2002,4.39252,4.39252,4.28564,4.39252,8491
12/17/2002,4.2769,4.30313,4.26816,4.28176,84913
12/18/2002,4.25941,4.29439,4.25067,4.25941,38895
12/19/2002,4.28176,4.28176,4.21472,4.27204,9778
12/20/2002,4.17003,4.28176,4.17003,4.24192,7205
12/23/2002,4.24192,4.25067,4.21958,4.24581,7205
12/24/2002,4.19723,4.25067,4.17003,4.20112,7771
12/25/2002,null,null,null,null,null
12/26/2002,4.21083,4.25941,4.21083,4.23707,42529
12/27/2002,4.25941,4.28564,4.17003,4.21083,65049
12/30/2002,4.25455,4.25455,4.17974,4.21472,26143
12/31/2002,4.19237,4.41875,4.19237,4.26816,22077
1/1/2003,4.39252,4.39252,4.30313,4.34783,37002
1/2/2003,4.34783,4.37017,4.34783,4.34783,20328
1/3/2003,4.25941,4.37017,4.25941,4.36143,7833
1/6/2003,4.08161,4.32548,4.08161,4.30799,8327
1/7/2003,4.17003,4.37017,4.17003,4.34783,11713
1/8/2003,4.17488,4.37892,4.17488,4.34783,27368
1/9/2003,4.25941,4.36531,4.22346,4.27204,59233
1/10/2003,4.17003,4.35657,4.17003,4.30799,19597
1/13/2003,4.32548,4.34394,4.23221,4.34394,9541
1/14/2003,4.34783,4.77824,4.25941,4.71217,138527
1/15/2003,4.64124,4.77824,4.43624,4.59169,382830
1/16/2003,4.59169,4.59169,4.45859,4.45859,55940
1/17/2003,4.48093,4.48093,4.43235,4.43235,26987
1/20/2003,4.39252,4.43624,4.31285,4.34783,27481
1/21/2003,4.34394,4.48093,4.34394,4.36531,9582
1/22/2003,4.34783,4.65873,4.34783,4.37017,13391
1/23/2003,4.4275,4.43624,4.37503,4.38766,55116
