Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,100.000000,103.199997,100.000000,102.400002,100.913864,2240
2000-01-04,110.400002,110.400002,96.199997,98.000000,96.577713,3575
2000-01-05,98.000000,104.000000,94.000000,97.800003,96.380615,2982
2000-01-06,103.000000,103.000000,100.599998,100.599998,99.139992,4702
2000-01-07,106.000000,106.000000,95.000000,101.599998,100.125458,2992
2000-01-10,100.000000,104.000000,100.000000,101.599998,100.125458,2925
2000-01-11,96.000000,102.000000,96.000000,100.800003,99.337082,4238
2000-01-12,96.599998,99.599998,95.000000,95.000000,93.621239,1275
2000-01-13,97.000000,99.800003,95.000000,96.000000,94.606750,1865
2000-01-14,96.000000,100.000000,95.000000,100.000000,98.548698,1225
2000-01-17,96.000000,100.000000,96.000000,96.000000,94.606750,1775
2000-01-18,96.000000,100.000000,88.400002,99.000000,97.563194,17840
2000-01-19,99.599998,100.000000,96.000000,100.000000,98.548698,5750
2000-01-20,96.000000,100.000000,96.000000,100.000000,98.548698,850
2000-01-21,94.000000,101.800003,94.000000,101.800003,100.322578,1025
2000-01-24,96.400002,102.000000,96.199997,97.400002,95.986412,4850
2000-01-25,97.000000,101.599998,96.000000,100.000000,98.548698,4550
2000-01-26,5.000000,5.000000,5.000000,5.000000,4.927434,0
2000-01-27,97.199997,102.000000,97.199997,99.199997,97.760300,775
2000-01-28,97.000000,102.000000,96.199997,96.199997,94.803833,1875
2000-01-31,103.000000,103.000000,97.400002,100.000000,98.548698,4825
2000-02-01,102.199997,102.199997,97.000000,102.000000,100.519661,4805
2000-02-02,100.000000,100.000000,97.400002,97.400002,95.986412,225
2000-02-03,4.870000,4.870000,4.870000,4.870000,4.799321,0
2000-02-04,100.000000,104.000000,99.000000,103.199997,101.702240,1312
2000-02-07,98.000000,104.000000,98.000000,99.599998,98.154503,1925
2000-02-08,99.800003,103.000000,98.000000,102.199997,100.716766,550
2000-02-09,100.000000,104.800003,98.000000,98.800003,97.366104,762
2000-02-10,96.000000,103.199997,96.000000,98.800003,97.366104,825
2000-02-11,103.000000,105.199997,98.800003,101.000000,99.534172,1475
2000-02-14,100.000000,106.000000,100.000000,102.599998,101.110954,812
2000-02-15,98.000000,104.000000,97.599998,104.000000,102.490623,1025
2000-02-16,98.199997,104.000000,98.199997,102.000000,100.519661,1368
2000-02-17,101.599998,104.000000,99.000000,103.599998,102.096436,1100
2000-02-18,100.599998,105.000000,100.599998,103.800003,102.293541,1325
2000-02-21,96.400002,105.599998,96.199997,104.000000,102.490623,650
2000-02-22,105.199997,105.199997,100.199997,103.000000,101.505150,245
2000-02-23,105.400002,109.000000,102.199997,109.000000,107.418076,3500
2000-02-24,106.400002,117.599998,106.400002,116.000000,114.316467,868
2000-02-25,118.800003,125.199997,116.000000,124.000000,122.200371,3250
2000-02-28,120.400002,133.800003,120.400002,133.800003,131.858124,2300
2000-02-29,144.399994,144.399994,144.399994,144.399994,142.304337,1175
2000-03-01,155.800003,155.800003,145.000000,155.800003,153.538895,3380
2000-03-02,168.199997,168.199997,168.199997,168.199997,165.758881,1110
2000-03-03,181.600006,181.600006,181.600006,181.600006,178.964432,1575
2000-03-06,196.000000,196.000000,196.000000,196.000000,193.155426,272
2000-03-07,211.600006,211.600006,186.199997,200.000000,197.097397,12562
2000-03-08,196.000000,206.000000,184.199997,184.199997,181.526672,2730
2000-03-09,180.000000,180.000000,169.600006,169.600006,167.138580,1725
2000-03-10,160.000000,160.000000,156.199997,156.199997,153.933044,1750
2000-03-13,7.810000,7.810000,7.810000,7.810000,7.696652,0
2000-03-14,132.600006,136.000000,132.600006,134.000000,132.055267,2150
2000-03-15,132.000000,134.000000,127.000000,130.000000,128.113281,2100
2000-03-16,124.000000,126.000000,120.000000,122.800003,121.017799,2425
2000-03-17,6.140000,6.140000,6.140000,6.140000,6.050889,0
2000-03-20,6.140000,6.140000,6.140000,6.140000,6.050889,0
2000-03-21,124.000000,129.000000,121.199997,126.400002,124.565544,700
2000-03-22,124.199997,126.000000,122.800003,126.000000,124.171349,575
2000-03-23,123.400002,123.400002,116.199997,117.199997,115.499054,1338
2000-03-24,116.199997,119.000000,116.199997,119.000000,117.272934,625
2000-03-27,112.000000,124.000000,112.000000,121.599998,119.835197,300
2000-03-28,120.000000,124.000000,120.000000,123.800003,122.003273,200
2000-03-29,124.000000,133.600006,124.000000,128.000000,126.142334,675
2000-03-30,130.000000,138.000000,124.000000,129.000000,127.127808,625
2000-03-31,139.199997,139.199997,139.199997,139.199997,137.179779,325
2000-04-03,150.199997,150.199997,136.000000,150.000000,147.823059,1650
2000-04-04,140.000000,140.199997,138.199997,138.600006,136.588440,1700
2000-04-05,138.000000,140.199997,138.000000,140.199997,138.165253,175
2000-04-06,140.000000,143.600006,129.000000,139.600006,137.574005,3750
2000-04-07,143.000000,147.800003,136.000000,139.399994,137.376877,1156
2000-04-10,150.399994,150.399994,140.000000,146.800003,144.669464,275
2000-04-11,7.340000,7.340000,7.340000,7.340000,7.233473,0
2000-04-12,140.000000,143.000000,136.000000,141.199997,139.150726,1075
2000-04-13,146.000000,150.000000,134.000000,137.800003,135.800064,1000
2000-04-14,6.890000,6.890000,6.890000,6.890000,6.790004,0
2000-04-17,132.399994,136.000000,132.000000,136.000000,134.026230,238
2000-04-18,128.000000,136.000000,128.000000,136.000000,134.026230,638
2000-04-19,136.000000,139.199997,126.000000,131.000000,129.098785,726
2000-04-20,125.199997,136.000000,125.199997,136.000000,134.026230,845
2000-04-21,6.800000,6.800000,6.800000,6.800000,6.701311,0
2000-04-24,6.800000,6.800000,6.800000,6.800000,6.701311,0
2000-04-25,126.000000,138.000000,126.000000,129.199997,127.324898,575
2000-04-26,6.460000,6.460000,6.460000,6.460000,6.366245,0
2000-04-27,135.600006,135.600006,135.600006,135.600006,133.632050,25
2000-04-28,136.000000,136.000000,125.199997,136.000000,135.424423,375
2000-05-01,6.800000,6.800000,6.800000,6.800000,6.771220,0
2000-05-02,126.199997,126.800003,126.199997,126.800003,126.263336,50
2000-05-03,6.340000,6.340000,6.340000,6.340000,6.313168,0
2000-05-04,128.199997,128.199997,128.000000,128.000000,127.458275,750
2000-05-05,6.400000,6.400000,6.400000,6.400000,6.372914,0
2000-05-08,134.199997,134.199997,134.199997,134.199997,133.632004,25
2000-05-09,6.710000,6.710000,6.710000,6.710000,6.681600,0
2000-05-10,6.710000,6.710000,6.710000,6.710000,6.681600,0
2000-05-11,133.000000,134.000000,126.000000,133.800003,133.233688,282
2000-05-12,126.199997,126.199997,126.000000,126.000000,125.466713,75
2000-05-15,128.000000,136.000000,128.000000,129.000000,128.454041,425
2000-05-16,124.000000,124.000000,124.000000,124.000000,123.475166,38
2000-05-17,130.000000,133.800003,130.000000,133.399994,132.835388,478
2000-05-18,135.199997,136.000000,133.000000,134.000000,133.432877,730
2000-05-19,139.000000,140.000000,136.000000,136.000000,135.424423,400
2000-05-22,136.000000,136.000000,132.000000,132.000000,131.441360,150
2000-05-23,136.000000,136.000000,132.000000,132.399994,131.839615,325
2000-05-24,135.600006,136.000000,132.399994,134.800003,134.229492,305
2000-05-25,126.199997,130.199997,126.000000,130.000000,129.449768,200
2000-05-26,128.600006,135.800003,128.199997,135.399994,134.826920,1025
2000-05-29,132.000000,135.199997,132.000000,135.199997,134.627792,175
2000-05-30,6.760000,6.760000,6.760000,6.760000,6.731390,0
2000-05-31,138.000000,140.000000,136.000000,140.000000,139.407440,175
2000-06-01,135.199997,135.199997,134.000000,134.000000,133.432877,150
2000-06-02,134.199997,136.000000,134.199997,136.000000,135.424423,425
2000-06-05,136.600006,136.600006,136.399994,136.399994,135.822693,50
2000-06-06,139.000000,139.399994,139.000000,139.000000,138.411682,150
2000-06-07,136.000000,136.000000,135.600006,135.600006,135.026138,225
2000-06-08,134.800003,134.800003,132.000000,132.000000,131.441360,75
2000-06-09,132.000000,136.000000,132.000000,133.000000,132.437073,356
2000-06-12,128.199997,128.199997,128.199997,128.199997,127.657410,25
2000-06-13,126.599998,126.599998,126.599998,126.599998,126.064186,25
2000-06-14,134.000000,136.000000,134.000000,136.000000,135.424423,175
2000-06-15,132.800003,138.399994,132.800003,138.000000,137.415939,140
2000-06-16,134.000000,144.000000,133.199997,144.000000,143.390518,301
2000-06-19,7.200000,7.200000,7.200000,7.200000,7.169526,0
2000-06-20,136.000000,136.199997,135.600006,136.199997,135.623535,1350
2000-06-21,138.000000,138.000000,135.800003,135.800003,135.225266,150
2000-06-22,136.000000,136.000000,134.000000,136.000000,135.424423,250
2000-06-23,130.199997,135.000000,130.199997,134.199997,133.632004,625
2000-06-26,136.000000,136.000000,136.000000,136.000000,135.424423,25
2000-06-27,134.399994,143.800003,134.000000,140.000000,139.407440,400
2000-06-28,141.399994,143.600006,140.399994,143.600006,142.992218,600
2000-06-29,140.399994,144.000000,136.600006,140.000000,139.407440,358
2000-06-30,145.600006,146.000000,138.000000,141.600006,141.000702,405
2000-07-03,140.000000,140.000000,134.000000,134.000000,133.432877,125
2000-07-04,132.800003,133.199997,132.600006,133.199997,132.636246,100
2000-07-05,132.399994,139.800003,132.000000,139.399994,138.810013,150
2000-07-06,136.000000,138.000000,136.000000,138.000000,137.415939,385
2000-07-07,6.900000,6.900000,6.900000,6.900000,6.870797,0
2000-07-10,6.900000,6.900000,6.900000,6.900000,6.870797,0
2000-07-11,138.000000,141.000000,138.000000,141.000000,140.403259,60
2000-07-12,136.000000,136.000000,136.000000,136.000000,135.424423,50
2000-07-13,133.000000,136.000000,132.800003,133.399994,132.835388,450
2000-07-14,132.199997,137.600006,132.199997,136.000000,135.424423,500
2000-07-17,146.800003,146.800003,143.600006,144.000000,143.390518,1131
2000-07-18,140.399994,143.800003,139.000000,141.000000,140.403259,3088
2000-07-19,143.399994,147.800003,141.600006,147.199997,146.577026,1738
2000-07-20,146.000000,152.000000,144.600006,152.000000,151.356689,1776
2000-07-21,144.399994,163.800003,144.199997,159.000000,158.327072,1150
2000-07-24,7.950000,7.950000,7.950000,7.950000,7.916353,0
2000-07-25,168.000000,172.600006,166.199997,167.600006,166.890656,330
2000-07-26,179.000000,179.000000,165.000000,165.000000,164.301636,226
2000-07-27,8.250000,8.250000,8.250000,8.250000,8.215085,0
2000-07-28,163.199997,166.000000,163.199997,165.199997,164.500793,262
2000-07-31,8.260000,8.260000,8.260000,8.260000,8.225040,0
2000-08-01,164.000000,164.000000,152.600006,156.399994,155.738052,75
2000-08-02,156.000000,168.800003,156.000000,168.800003,168.085541,464
2000-08-03,163.000000,163.000000,163.000000,163.000000,162.310104,38
2000-08-04,164.000000,167.600006,162.600006,166.000000,165.297455,275
2000-08-07,158.199997,158.199997,158.199997,158.199997,157.530457,25
2000-08-08,170.800003,170.800003,162.000000,168.000000,167.288986,182
2000-08-09,181.199997,181.199997,179.800003,180.000000,179.238190,53
2000-08-10,168.800003,172.000000,168.199997,172.000000,171.272018,78
2000-08-11,168.000000,168.000000,160.399994,162.399994,161.712662,106
2000-08-14,167.000000,167.000000,167.000000,167.000000,166.293198,25
2000-08-15,8.350000,8.350000,8.350000,8.350000,8.314662,0
2000-08-16,171.600006,171.600006,171.600006,171.600006,170.873703,25
2000-08-17,167.600006,172.000000,167.199997,167.199997,166.492355,275
2000-08-18,172.000000,174.000000,170.199997,170.199997,169.479630,401
2000-08-21,160.000000,172.000000,160.000000,172.000000,171.272018,75
2000-08-22,170.000000,172.000000,161.000000,172.000000,171.272018,162
2000-08-23,165.000000,165.000000,165.000000,165.000000,164.301636,10
2000-08-24,168.000000,168.000000,160.199997,160.199997,159.521957,35
2000-08-25,164.000000,172.399994,164.000000,172.000000,171.272018,85
2000-08-28,168.000000,172.000000,168.000000,172.000000,171.272018,188
2000-08-29,8.600000,8.600000,8.600000,8.600000,8.563602,0
2000-08-30,8.600000,8.600000,8.600000,8.600000,8.563602,0
2000-08-31,164.399994,164.399994,160.800003,160.800003,160.119461,50
2000-09-01,8.040000,8.040000,8.040000,8.040000,8.005972,0
2000-09-04,168.000000,168.000000,168.000000,168.000000,167.288986,125
2000-09-05,165.399994,172.000000,165.399994,171.399994,170.674591,270
2000-09-06,8.570000,8.570000,8.570000,8.570000,8.533729,0
2000-09-07,165.000000,176.000000,165.000000,176.000000,175.255127,50
2000-09-08,170.000000,178.000000,168.000000,178.000000,177.246658,190
2000-09-11,192.000000,192.000000,164.399994,168.600006,167.886429,122
2000-09-12,168.000000,168.000000,166.000000,166.000000,165.297455,72
2000-09-13,166.000000,166.000000,162.399994,162.399994,161.712662,38
2000-09-14,149.600006,157.600006,149.600006,157.600006,156.932983,68
2000-09-15,164.000000,168.800003,164.000000,168.000000,167.288986,136
2000-09-18,8.400000,8.400000,8.400000,8.400000,8.364450,0
2000-09-19,8.400000,8.400000,8.400000,8.400000,8.364450,0
2000-09-20,164.000000,168.000000,164.000000,166.000000,165.297455,325
2000-09-21,154.800003,169.199997,154.800003,164.199997,163.505051,335
2000-09-22,164.199997,171.600006,164.199997,168.000000,167.288986,365
2000-09-25,162.199997,170.000000,162.199997,169.800003,169.081345,250
2000-09-26,8.490000,8.490000,8.490000,8.490000,8.454066,0
2000-09-27,8.490000,8.490000,8.490000,8.490000,8.454066,0
2000-09-28,172.000000,172.000000,164.000000,172.000000,171.272018,255
2000-09-29,8.600000,8.600000,8.600000,8.600000,8.563602,0
2000-10-02,8.600000,8.600000,8.600000,8.600000,8.563602,0
2000-10-03,160.399994,160.399994,160.000000,160.000000,159.322830,95
2000-10-04,164.000000,172.000000,160.000000,163.199997,162.509277,442
2000-10-05,163.000000,173.399994,161.800003,169.600006,168.882187,769
2000-10-06,163.399994,170.000000,163.399994,168.000000,167.288986,78
2000-10-09,160.800003,172.000000,160.800003,172.000000,171.272018,310
2000-10-10,167.600006,167.600006,167.600006,167.600006,166.890656,25
2000-10-11,168.000000,172.000000,162.600006,172.000000,171.272018,256
2000-10-12,8.600000,8.600000,8.600000,8.600000,8.563602,0
2000-10-13,158.399994,172.000000,158.399994,171.600006,170.873703,472
2000-10-16,170.000000,174.399994,161.399994,171.199997,170.475388,376
2000-10-17,172.000000,172.000000,166.000000,172.000000,171.272018,160
2000-10-18,170.000000,172.000000,164.800003,164.800003,164.102493,111
2000-10-19,168.000000,172.000000,168.000000,170.800003,170.077087,79
